repositories_names,repositories_languages
hdrnet,Python
healthcare-text-annotation,
heartbleed-burp-extension,Java
heir,C++
hell0world-curriculum,HTML
helloargdx,Java
helm-broker,Go
heroku-buildpack-bazel,Shell
hi-lassie,Python
hiba,C
hierarchical-state-machine.dart,Dart
highway,C++
highwayhash,C++
hilbert,Go
hintless_pir,C++
homebrew-google-authenticator,Ruby
homebrew-xpra,Ruby
honggfuzz,C
hops,C++
horenso,Perl
horologist,Kotlin
hotel-ads-etl-tool,Python
hotel-booking-api-validator,Go
hotels-template-library,C++
hover,Java
hrepl,Haskell
hrx,CSS
hrx-ruby,Ruby
hs-attenuation,Haskell
hs-batching,Haskell
hs-collate,Haskell
hs-dependent-literals,Haskell
hs-fin-vec,Haskell
hs-niche-containers,Haskell
hs-numeric-logarithms,Haskell
hs-portray,Haskell
hs-ten,Haskell
hs-wrapped,Haskell
html-quiz,JavaScript
http2preload,Go
http_pattern_matcher,C++
http_prefetching,JavaScript
hubvantage,JavaScript
hugeml,
huproxy,Go
hyou,Python
hypebot,Python
HyperCompressBench,Python
hypernerf,Python
HyperProtoBench,C++
i18n_sanitycheck,Java
iap-compute-engine-demo,HCL
ic-modeling-python,Python
icing-search,
iconvg,C
idaidle,CMake
ide-perf,Kotlin
identity-aware-prober,Go
identity-toolkit-go-client,Go
identity-toolkit-java-client,Java
identity-toolkit-node-client,JavaScript
identity-toolkit-php-client,PHP
identity-toolkit-python-client,Python
identity-toolkit-ruby-client,Ruby
IdleWakeups,C#
Idris-dev,
idris-protobuf,Idris
if-this-then-ad,TypeScript
ihmehimmeli,C++
image-compression,C++
image-rebase,Go
image-supplemental-feed-creator,Python
image_mix,Python
impl_trait_utils,Rust
import-mailbox-to-gmail,Python
importlab,Python
in-silico-labeling,Python
inception,
incremental-dom,TypeScript
indexable-pwa-samples,JavaScript
indexed-db-as-promised,JavaScript
infact,C++
infra-structured-map,Java
init2winit,Python
inject-common,Java
inject.dart,Dart
ink-stroke-modeler,C++
inspectorspacetime,JavaScript
inspiration_tree,Jupyter Notebook
instant-hangouts,JavaScript
instrumentsToPprof,Go
integers,C++
intelligent_annotation_dialogs,Jupyter Notebook
intellij-cmdline-vcs-plugin,Java
intellij-community,
intellij-gn-plugin,Kotlin
intellij-kotlin,
intellij-protocol-buffer-editor,Java
intermock,TypeScript
interop-ios-for-google-sdks,Objective-C
inverting-proxy,Go
io-captions-gadget,Python
ion,C++
ios-chatbot,Objective-C
ios-device-control,Java
ios-webkit-debug-proxy,C
iosched,Kotlin
iosched-ios,Swift
iot-environment-sensors,C++
ioweb2015,JavaScript
ioweb2016,HTML
ipaddr-py,Python
irrduino,Processing
it-cert-automation,Python
it-cert-automation-practice,Python
it-cert-automation-project,Python
j2cl,Java
j2cl-protobuf,JavaScript
j2objc,Java
JacquardSDKAndroid,Java
JacquardSDKiOS,Swift
jacs,Python
jalic,C
jarjar,Java
jarvan,Python
java-monitoring-client-library,Java
java-photoslibrary,Java
java-run,Java
java-sourcetools,Java
java-thread-sanitizer,Java
java-time-client,Java
java-video-live-stream,Shell
jax,Python
jax-cfd,Jupyter Notebook
jaxcam,Python
jaxite,Python
jaxonnxruntime,Python
jaxopt,Python
jenkins-flaky-test-report,
jetpack-camera-app,Kotlin
JetStream,Python
jetstream-pytorch,Python
jimfs,Java
jira-to-issues,TypeScript
jni-bind,C++
joint_vae,OpenEdge ABL
js-green-licenses,TypeScript
jsaction,JavaScript
jscin,JavaScript
jse4conf,Java
jsinterop-annotations,Java
jsinterop-base,Java
jsinterop-generator,Java
json-sans-eval,HTML
json5format,Rust
jsonapi,Go
jsonnet,Jsonnet
jsontoken,Java
jsontoken-tmp,
json_serializable.dart,Dart
jws,Python
jwt_verify_lib,C++
k8s-digester,Go
kafel,C
karma-webkit-launcher,JavaScript
kasane,Python
kati,C++
kctf,Go
keep-sorted,Go
kepler,Python
keps,Go
kernel-sanitizers,Python
keyczar,
keystone,Elm
keytransparency,Go
keytransparency-java,Java
keyword_factory,Python
kf,Go
khll-paper-experiments,
kilt,Go
kinda-tidy,Python
kiosk-app-reference-implementation,Kotlin
kir-holiday-lights,Lasso
kiwi-solver,Java
kleaver,C
kmsan,C
knative-gcp,Go
knowledge-base-gmail-addon,JavaScript
knusperli,C++
kotlin,Kotlin
Kotlin-FirViewer,Kotlin
kratu,JavaScript
ksp,Kotlin
ktsan,
kube-node-tracer,Shell
kube-startup-cpu-boost,Go
kunit-docs,HTML
kv-s3105c,C
kythe-cloud9,JavaScript
labs-prototypes,Jupyter Notebook
lab_device_proxy,Python
langfun,Python
langsvr,C++
language-jsonnet,
language-resources,C++
lasr,Python
lassie,Python
lasso,JavaScript
last-fm-dashboard,JavaScript
latency-benchmark,C
latexify_py,Python
layered-scene-inference,Python
ldif,Python
ldpush,Python
learn-oss-with-google,Python
learned_optimization,Python
learn_unsafe_rust,
lecam-gan,Jupyter Notebook
Legilimency,Python
leveldb,C++
lexical-masks,Python
libaddressinput,C++
libcppbor,C++
libcxx,C++
libgep,C++
libhidtelephony,TypeScript
libhoth,C
libkml,C++
liblc3,C
libnop,C++
libnss-cache,C
libpam-policycache,C
libphonenumber,C++
libprio-cc,C++
libprotobuf-mutator,C++
libprotobuf-mutator-asn1,C++
library-wrapper-unity-common,C#
library-wrapper-unity-openjdk8,C#
librato.dart,Dart
libsbc,C
libsxg,C
libtracecmd-rs,Rust
libtrusttoken,C++
libultrahdr,C++
liburing_cpp,C++
licensecheck,Go
licenseclassifier,Go
lifetime_value,Jupyter Notebook
light-my-piano,Python
lightweight_mmm,Python
linear-book-scanner,Python
link-diver,TypeScript
link022,Go
lintush,JavaScript
linux-sensor,C
lipsync,JavaScript
liquidfun,C++
LiquidFunPaint,Java
lisp-koans,Common Lisp
live-transcribe-speech-engine,Java
lkml-gerrit-bridge,Python
lk_onload_stub,C
lldb-eval,C++
LLpatch,C++
llvm-bazel,Starlark
llvm-premerge-checks,Python
llvm-project,
llvm-propeller,Shell
lmctfy,C++
loaner,Python
localized-narratives,HTML
localsubnetsetd,Python
localtoast,Go
log4jscanner,Go
logger,Go
longbet,C++
longt5,
look-before-you-speak,HTML
looker-studio-dashboard-cloner,TypeScript
lovefield,JavaScript
low_volume_skus,JavaScript
lullaby,C++
lut3d_utils,Python
lvmd,Go
lyra,C++
MAB,R
macops,Python
macops-keychainminder,Objective-C
macops-MOLAuthenticatingURLSession,Objective-C
macops-molcertificate,Objective-C
macops-molcodesignchecker,Objective-C
macops-MOLFCMClient,Objective-C
macops-MOLXPCConnection,Objective-C
macops-MOMenu,Objective-C
macops-planb,Objective-C
maddpg-replication,Jupyter Notebook
madi,Python
magic-github-proxy,Python
magika,Python
magritte,C++
mail-importer,Java
makani,C++
makerfaire-booth,Python
makerspace-auth,Python
makerspace-emonth,KiCad
makerspace-lipo-charger,Makefile
makerspace-partsbin,Python
maketrace,C++
making_with_ml,Jupyter Notebook
mako,C++
maldoca,C++
malt-example-models,
mandiant-ti-client,Python
mangle,Go
mannequinchallenge,Python
maps-for-work-samples,
marl,C++
marmot,Go
martian,Go
martian-java,Java
marzipano,JavaScript
matched_markets,Python
material-design-icons,
material-design-lite,HTML
mathfu,C++
mathsteps,JavaScript
matr,Rust
mawfs,Go
maxdiffusion,Python
maxtext,Python
mcafp,Python
mcic-coco,
mcp2221-rs,Rust
mdbook-i18n-helpers,Rust
mdoc-credential,Kotlin
mechahamster,C#
mediapipe,C++
mediapy,Jupyter Notebook
meet-on-fhir,JavaScript
megalista,Python
memcache-collections,Python
memcpy-gemm,C++
memutil,Python
mentornet,Python
merchant_center_repor_builder,Python
merge_pyi,Python
merror,C++
mesop,Python
metamath.js,JavaScript
metaserver,Go
meta_tagger,Python
meterstick,Jupyter Notebook
metrosvg,C++
microdhcpd,Go
microscopeimagequality,Python
midi-dump-tools,C
mimosa,C++
minetest_pnr,Rust
minijail,C
minimalloc,C++
minions,Go
mint-line-follower,Python
mipnerf,Python
mipsqa,Python
mirandum,Python
mirror-branch-action,TypeScript
ml-compiler-opt,Python
ml-fairness-gym,Python
ml-metadata,C++
ml-metrics,Python
mlir-hs,Haskell
mlir-npcomp,
ml_collections,Python
mobile-data-download,Java
mobly,Python
mobly-bundled-snippets,Java
mobly-snippet-lib,
mobly-windows,Python
mockable_filesystem.dart,Dart
model-verifier-in-kotlin,Kotlin
model-viewer,TypeScript
model_search,Python
modem,Jupyter Notebook
modernstorage,Kotlin
module-server,JavaScript
MOE,Java
MOE-py,Java
monologue,Go
mono_repo.dart,Dart
monster-mash,C++
moodle-on-gcp,Shell
morphie,C++
mosaic,Rust
motive,C++
mount-zip,C++
mouse-pose-analysis,C++
mouse-pose-analysis-dataset,Jupyter Notebook
moveit,Rust
mozart,Python
mozc,C++
mozc-devices,Python
mpact-riscv,C++
mpact-sim,C++
mpact-sim-codelabs,C++
mr4c,Java
ms-tpm-20-ref,C
mt,C++
mtail,Go
mug,Java
multi-task-architecture-search,Python
multibox,
multichannel-audio-tools,C++
multichase,C
multispecies-whale-detection,Python
mundane,Rust
music-synthesizer-for-android,Jupyter Notebook
mweb-analysis-tools,JavaScript
myanmar-tools,Java
myelin-acorn-electron-hardware,Python
mysql,C++
mysql-protobuf,C++
mysql-ripple,C++
mysql-tools,Python
mysteryofthreebots,TypeScript
mystyle,Python
n-digit-mnist,Python
namebench,Go
nanolibc,C
nanopb-cpputest-comparators,C++
nanopb-podspec,Ruby
native-pkcs11,Rust
navc,Go
navi,Jupyter Notebook
nccl-fastsocket,C++
ndash,C++
ndprbrd,C++
nearby,C++
nel-collector,Go
nel-reporter-java,Java
neper,C
nerfactor,Python
nerfies,Python
netbsd-gce,Shell
netstack,Go
network-mapper,
network-opt,C++
network-visualizer-x,
net_http,C++
neural-light-transport,Python
neural-logic-machines,Python
neural-tangents,Jupyter Notebook
neural_rerendering_in_the_wild,Python
neuroglancer,TypeScript
NeuroNER-CSPMC,Python
new-project,
next-prediction,Python
nfc-smart-tag,Java
nftables,Go
nginx-sxg-module,C
ngrx-visualizer,TypeScript
ngx_brotli,C
ngx_token_binding,C
night-sight,
nips_assignments,C++
nitroml,Jupyter Notebook
nixysa,Python
NLSdata,R
node-armor,
node-dependency-analysis,TypeScript
node-fastify-auto-push,TypeScript
node-gles,C++
node-h2-auto-push,TypeScript
node-nest,JavaScript
node-sec-roadmap,JavaScript
nodejs-container-image-builder,TypeScript
nodejs-wiki,JavaScript
nogotofail,Python
nomulus,Java
note-maps,Go
novm,Go
nsc-tutorial,Jupyter Notebook
nsjail,C++
nsscache,Python
nsync,C
nucleus,C++
nvidia_libs_test,C++
o3dtoydefense,JavaScript
oatts,JavaScript
oauth2l,Go
objax,Python
objectfilter,Python
oboe,C++
observable,Dart
OctoPrint-HeaterTimeout,Python
OctoPrint-LEDStripControl,Python
OctoPrint-TemperatureFailsafe,Python
oculi,Jupyter Notebook
offline-content-packager,
ohmu,C++
okay,Go
older-mirrored-patches,
omaha,C++
omaha-client,Rust
omnimatte-sp,Python
ondc-opencommerce,Go
one-weird-trick,Jupyter Notebook
oodle-demo,HTML
open-chiplet,
open-dice,C++
open-gantry,CSS
open-location-code,Java
open-location-code-swift,Swift
open-source-pdks,
open-vcdiff,C++
opencasebook,Ruby
opendocs,
openhtf,Python
openintent,
openjdk-kerberos,Java
openpgp-interop,
openrtb,Java
openrtb-doubleclick,Java
OpenSK,Rust
opensmartbutton,C
openssl-tests,Makefile
opentest,
opentest4j,Java
opuscpp,C++
or-models,
or-tools,C++
orbax,Python
orbit,C++
orchestra,Python
orderedcode,Go
ORFConverter,C#
organ-donor-app,
orismologer,Go
ormolu,Haskell
orthotope,Haskell
osdetector-gradle-plugin,Java
osdfir-infrastructure,Shell
osqp-cpp,C++
oss-bench,
oss-fuzz,Shell
oss-fuzz-gen,Python
oss-fuzz-vulns,Python
oss-policies-info,
oss-vulnerability-guide,
osv-scalibr,Go
osv-scanner,Go
osv-scanner-action,
osv-scanner-test,Go
osv.dev,Python
ot-crdt-papers,JavaScript
ota-analyzer,JavaScript
ota-generator,Python
outrigger,JavaScript
overcoming-conflicting-data,
p4-pdpi,C++
packet-queue,Python
packetdrill,C
paco,Objective-C
page-alloc-bench,Go
page-timer,JavaScript
pageloader,Dart
pagespeed-inslides,JavaScript
palette.js,JavaScript
pam-cryptsetup,C
pandas,
paper-gui,HTML
paragraph,C++
parallel-chunks,Python
parallel_accel,Python
paramgmt,Python
param_runner,Shell
paranoid_crypto,Python
partner-ads-experience,
paseos,JavaScript
password-alert,JavaScript
password-sync-support-tool,VBScript
pasta,Python
patchfield,Java
patents-public-data,Jupyter Notebook
path-auditor,C++
patrick,R
pawn,C++
paxml,Python
payjs,JavaScript
pblog,C
pbvi,Python
pcbdl,Python
pcie_lmt,Go
pdl,Rust
pdl-language,
peg-typed,Kotlin
peoplemath,TypeScript
pepper.js,JavaScript
percy-node,JavaScript
perfetto,C++
perforce-utils,Shell
perf_api.dart,Dart
perf_data_converter,C++
periph,Go
peripheral-customization-pwa,TypeScript
permhash,Python
personfinder,Python
pezl,Go
pg_page_verification,C
phase-prediction,HTML
phoneme-aligned-graphemes-in-tts,HTML
photo-sphere,
php-crc32,PHP
php-photoslibrary,PHP
physical-web,Java
physical-web-core,
physics-math-tutorials,Jupyter Notebook
pica,Python
picasa-app-demo,Java
picatrix,Python
picview-for-android,Java
pienoon,C++
piex,C++
pigweed,C++
pik,C++
pikov,Jupyter Notebook
pindrop,C++
pinject,Python
pinotify,Java
PINT,C
pix-image-viewer,Rust
pixelate,TypeScript
pixelcycle-sample-app,Dart
pixelvisualcorecamera,Java
pjflate,Java
pkcs11test,C++
platform.dart,Dart
platforms-bios-buildenv,Dockerfile
platform_benchmarks,
play-instant-unity-plugin,C#
play-licensing,Java
play-services-plugins,Java
play-unity-plugins,C#
play-work,Java
playground-elements,TypeScript
playhvz,Kotlin
plb,
plusfish,C++
pmax_best_practices_dashboard,Shell
pmax_migration,Python
pods-helper,Objective-C
polymer-dart-log-controller,Dart
polymorphicDSL,Java
polynomial-practice,HTML
portrait-shadow-manipulation,Jupyter Notebook
poseshield-tfjs,Vue
postcss-rename,TypeScript
postcss-src,TypeScript
power-traces,Protocol Buffer
poweranalysis,R
powered-caster-vehicle,C++
pprof,Go
pprof-nodejs,JavaScript
praxis,Python
pre-commit-tool-hooks,Python
prediction_framework,Python
prefab,Kotlin
prerender-test,JavaScript
prettytensor,Python
privacy-sandbox-aggregation-service,Go
private-compute-libraries,Kotlin
private-compute-services,Java
private-join-and-compute,C++
private-membership,C++
private-retrieval,Java
process.dart,Dart
processingjs-ide,JavaScript
process_runner,Dart
prochlo,C++
product-dsa,Python
product_return_predictor,Python
product_video_ads,TypeScript
profiling-data-processing-model-isca23-ae,Python
profit-bidder,Shell
prog-edu-assistant,Jupyter Notebook
prog-edu-assistant-quizzes,Jupyter Notebook
project-eager,Jupyter Notebook
project-gameface,Python
project-OCEAN,Python
project_cartesian,Python
prometheus-slo-burn-example,Go
promises,Objective-C
prompt-to-prompt,Jupyter Notebook
proto-lens,Haskell
proto-quic,
proto-task-queue,Python
protobuf-dt,Java
protobuf-extensibility-for-burp,Python
protobuf-gradle-plugin,Groovy
protobuf.dart,Dart
protocall,Python
protodatastore-cpp,C++
protorpc,Python
prudaq,Eagle
PS3ControllerAutoSleep,AppleScript
psp,C
ps_log,PowerShell
pubkeystore,Go
pubsubhubbub,
pub_cache,Dart
pulito,JavaScript
pull-request-mailer,Haskell
pullsheet,Go
purr,Shell
putting-dune,Python
pwlfit,Jupyter Notebook
py-ast-utils,Python
py-decorators-tutorial,Jupyter Notebook
py-html-contextual-escaping,Python
pyaedj,Python
pybadges,Python
pybind11k,C++
pycnite,Python
pyctr,Python
pyglove,Python
pygtrie,Python
pyink,Python
pymql,Python
pyringe,Python
pyrios,Go
python-adb,Python
python-atfork,Python
python-card-framework,Python
python-cloud-utils,Python
python-dimond,Python
python-fanotify,C
python-fire,Python
python-gflags,Python
python-lakeside,Python
python-laurel,Python
python-proto-converter,Python
python-security-manager,Python
python-spanner-orm,Python
python-subprocess32,Python
python-temescal,Python
python-yaml-config,Python
python_portpicker,Python
pytruth,Python
pytype,Python
pytypedecl,Python
pyu2f,Python
pyvisionproductsearch,Python
qhbm-library,Python
qkeras,Python
qpp,JavaScript
qrisp,C++
quark,C
quic-trace,C++
quiche,C++
quickshift,C++
quiver-dart,Dart
quiver-log,Dart
quota-monitoring-solution,Java
radioreceiver,JavaScript
radium,HTML
raft-rs,Rust
rainbow,C++
rally,Java
randen,C++
randomized-graphics-shaders,GLSL
rappor,R
rax,Python
rba,Jupyter Notebook
rbe-integration-test,Python
rct-automation,C++
rdma-unit-test,C++
re2,C++
re2-wasm,TypeScript
re2d,D
re2j,Java
react-schemaorg,TypeScript
readahead,Go
reagera,Java
real-time-intelligence-workshop,Jupyter Notebook
realestate10k,HTML
realtime-help,Python
REAPER,C++
reboot-somalia,
recaptcha,PHP
receipts-to-riches-part1,C#
receipts-to-riches-part2,C#
recki-ct,PHP
recog,JavaScript
recursive-version-control-system,Go
RED,MATLAB
redgrep,C++
Refaster,Java
referring-manipulation,Python
reflectable.dart,Dart
reflow-list,TypeScript
refr,C++
reftable,C
region-flags,HTML
rejoiner,Java
rekall,Python
rekall-profiles,HTML
renameio,Go
render-timing-for-unity,C++
report2bq,Python
reportlatency,Perl
repose,Python
repository-lifecycle,Dart
request-test,Python
rerast,Rust
rescue-tools-reiserfs,Python
resolver-library,Python
responsible-innovation,Jupyter Notebook
responsive-search-ads-builder,JavaScript
restor,Objective-C
resultstoreui,Python
resumable-assert,C
retiming,Python
retrieval-qa-eval,Python
retriever_parsing,Python
retrofit,Java
revisiting-self-supervised,Python
rfmt,Python
rich-test-results,Java
riegeli,C++
ringdroid,Java
ringli,C++
ripunzip,Rust
river,
robotstxt,C++
robotstxt-java,Java
robotstxt-spec-test,Java
roman-word-bubbling,CSS
rootcanal,C++
roughtime,
rowhammer-test,C++
rpki-mgmt,Puppet
rpmpack,Go
rrg,Rust
rtb_creative_filtering_report,TypeScript
rtb_troubleshooting_connector,JavaScript
rtc-video-quality,Python
rttcp,Python
rubik,Python
ruby-openid-apps-discovery,Ruby
rune,C
rust-async-coap,Rust
rust-crate-audits,
rust-deadlock-avoidance,Rust
rust-design-faq,
rust-multihash,Rust
rust-p9,Rust
rust-scudo,Rust
rust-shell,Rust
rustcxx,Rust
rust_icu,Rust
ruy,C++
rxcppuniq,C++
rysim,Erlang
s2-geometry-library-java,Java
s2a-go,Go
s2geometry,C++
sa360-bidbyweather,JavaScript
sa360-bigquery-bootstrapper,Python
sa360-bulk-editor,JavaScript
sa360-flightsfeed,JavaScript
sa360-webquery-bigquery,Java
safe-active-record,Ruby
safe-html-types,Java
safearchive,Go
safebrowsing,Go
safehtml,Go
Safelight,JavaScript
safeopen,Go
safeside,C++
safetext,Go
safevalues,TypeScript
safevarargs,
sagetv,Java
saka,Python
samba-documents-provider,Java
sample-sql-translator,Python
samurai,Python
sandboxed-api,C++
sandwiched_compression,Python
sanitizers,C
santa,Objective-C
santa-tracker-android,Java
santa-tracker-web,JavaScript
sass_generator,
sawbuck,C++
saxml,Python
sbat-rs,Rust
scaaml,Python
scene_lab,C++
schedviz,Go
schema-dts,TypeScript
schemaorg-java,Java
schemarama,JavaScript
schism,Scheme
science-journal-arduino,C
scrollytell,TypeScript
sealedcomputing,C++
search-samples,Java
season-of-docs,
seatera,Python
secret-manager-with-sendgrid,Python
secrets-gradle-plugin,Kotlin
securemessage,C++
security-annotation-tools,Kotlin
security-crawl-maze,HTML
security-research,C
security-research-pocs,C++
security-testbeds,Python
seesaw,Go
segment,Go
segy-stack,C++
self-hosted-rss-to-email,Go
self-published-geo,Python
selinux-policy-languages,
semantic-locators,JavaScript
sensei,C++
sensor-data-collection-library,Java
sentencepiece,C++
seq2seq,Python
seqio,Python
serde_json5,
serde_json_lenient,Rust
serialization.dart,Dart
service-worker-detector,JavaScript
service_worker.dart,Dart
setfilters,Java
sf-evolve-forms,Apex
sg2im,Python
sge-monorepo,Go
sgtm-event-data-filter,Smarty
sgtm-ga4-to-bigquery,Smarty
sgtm-migrator,TypeScript
sha1dc-jni,Java
shaderc,C++
shaderc-rs,Rust
shadertrap,C++
shell-encryption,C++
shenzhen-go,JavaScript
shifter,Go
shipshape,Go
shipshape-demo,Python
shlex,Go
shopping-markup,Python
shopping_insider,Python
shoptimizer,Python
shuwa,Python
silifuzz,C++
simhospital,Go
simple-pedometer,Java
simple-reinforcement-learning,Python
simplecfg,Java
sirius,
site-kit-wp,JavaScript
skia,C++
skia-buildbot,Go
skicka,Go
sky-optimization,
sky90fd-pdk,
skylark,Go
skyline_rl_lab,Jupyter Notebook
skywater-pdk,Python
skywater-pdk-actions,Python
skywater-pdk-ip-sky90fd_fd_ip_sram,
skywater-pdk-libs-sky130_bag3_pr,Python
skywater-pdk-libs-sky130_fd_bd_sram,
skywater-pdk-libs-sky130_fd_io,Verilog
skywater-pdk-libs-sky130_fd_pr,
skywater-pdk-libs-sky130_fd_pr_reram,
skywater-pdk-libs-sky130_fd_sc_hd,Verilog
skywater-pdk-libs-sky130_fd_sc_hdll,Verilog
skywater-pdk-libs-sky130_fd_sc_hs,Verilog
skywater-pdk-libs-sky130_fd_sc_hvl,Verilog
skywater-pdk-libs-sky130_fd_sc_lp,Verilog
skywater-pdk-libs-sky130_fd_sc_ls,Verilog
skywater-pdk-libs-sky130_fd_sc_ms,Verilog
skywater-pdk-libs-sky90fd_fd_io,
skywater-pdk-libs-sky90fd_fd_pr,
skywater-pdk-libs-sky90fd_fd_sc,
skywater-pdk-libs-sky90fd_osu_sc,
skywater-pdk-sky130-raw-data,Jupyter Notebook
skywater-pdks,
sling,C++
slo-generator,Python
slothfs,Go
slowfs,Go
slowjam,HTML
smali,Java
smbios-validation-tool,Go
smccc,Rust
smilesparser,Python
snaplayout-for-xmonad,Haskell
snappy,C++
snappy-start,C
snippet-uiautomator,Java
software-product-sprint,Java
sonic-midi,Ruby
sonic-p4rt,
soong_verification,Lean
sound-checker,Kotlin
souper,C++
source_helper.dart,Dart
source_transformer.dart,Dart
space,Python
sparrowhawk,Shell
spatial-media,Python
spatiotemporal-graphnn-tf,Jupyter Notebook
spdm-accelerator-requirement,
speaker-id,Python
spectral-density,Python
speech_intelligibility_index,Python
speech_style_transfer,HTML
speed-opportunity-finder,Python
speedy,C++
spherical-harmonics,C++
spindle-dv360,Python
spirv-tutor,Shell
splice,Go
spline,Java
splitbrain,Python
splot-java,Java
sprockets,Python
sqlcommenter,PHP
sqlcommenter-laravel-php,PHP
sqlcommenter-php,PHP
squidwarden,Go
squires,Python
sredocs,Go
sre_yield,Python
sshkey-audit,Go
ssl_logger,Python
stable-retraining-conversational-agents,
standard-payments,
starlark-go,Go
starlark-rust,
starthinker,Python
startup-os,Java
statechart,C++
steamkeysactivator,AppleScript
stenographer,Go
step197-2020,Java
step49-2020,Java
stereo-magnification,Python
stijl,JavaScript
stm32-bootloader-client-rs,Rust
stm32_bare_lib,C
storybench,Python
strabo,Elixir
strangemeadowlark,Rust
StrawNet,HTML
streamhtmlparser,C
streaming_hdp,Go
streamy-dart,Dart
streetview-publish-client-libraries,Java
stress_transfer,Python
strict-csp,TypeScript
struct2tensor,Python
structured_labels,Python
stumblybot,Python
style-aligned,Python
styleguide,HTML
subcommands,Go
subpar,Python
summit-ast,Kotlin
supersonic,C++
supl-client,Java
support-case-notifications,Shell
support-tools,Python
svalbard,Go
svcca,Jupyter Notebook
swift,
swift-benchmark,Swift
swift-clang,C++
swift-cmark,C
swift-compiler-rt,C
swift-corelibs-foundation,C
swift-corelibs-libdispatch,C
swift-corelibs-xctest,Swift
swift-integration-tests,Python
swift-jupyter,Python
swift-llbuild,C++
swift-lldb,C++
swift-llvm,LLVM
swift-package-manager,Swift
swift-structural,Swift
swiftlogfirecloud,Swift
swiftshader,C++
swissgl,JavaScript
sxg-rs,Rust
sxg-validator,JavaScript
sycophancy-intervention,Python
sync3k-client,TypeScript
sync3k-server,Scala
sync_http.dart,Dart
synergyfinderengineered,R
synthesizer-io,Rust
synthmark,C++
systemjs,JavaScript
syzkaller,Go
syzygy,C++
szl,C++
t5patches,Python
tabletopaudio-action,TypeScript
tabuli,C++
tachometer,TypeScript
tacotron,HTML
tadau,Python
TaglessCRM,Python
takeout,
talkback,Java
talos-dv360,JavaScript
tamperchrome,TypeScript
tangent,Python
taqo-paco,Dart
tarpc,Rust
taxonomy_wizard,Python
tcav-for-ehr,Python
tcli,Python
tcmalloc,C++
tcpauth,C
tcp_killer,Python
tec-web-assignments,JavaScript
teknowledge,Python
tekton-slsa-demo,Shell
telluride_decoding,Python
templatekit,Objective-C
temporian,Python
tensorflow-recorder,Python
tensorflow-tools,JavaScript
TensorNetwork,Python
tensorstore,C++
terminal-app-function-keys,Python
terminal-py,Python
tern-closure,JavaScript
terraform-google-security-health-checker,HCL
testimony,Go
TestParameterInjector,Java
testrun,Python
testRunner,JavaScript
testrunner-rosemary,Java
text2text,Python
textfsm,Python
tf-quant-finance,Python
tf-shell,Python
tfjs-mnist-workshop,Jupyter Notebook
tflow2,Go
tfp-causalimpact,Python
tf_mesh_renderer,Python
thread-weaver,Java
threat-team,YARA
tie,JavaScript
tiff,Go
tim-gan,Python
timecast,Python
timesketch,Python
tinkCryptoHelper,Java
tirg,Python
tmppy,Python
tock,Rust
tock-on-titan,Rust
todo-tracks,Go
token_bind,C
topdown-btg-preordering,C++
toucan,C++
TouchTime,Java
tour-of-wgsl,TypeScript
tpm-js,C++
trace-viewer,
traceout,Go
traceur-compiler,JavaScript
tracing-framework,JavaScript
trajax,Python
transit,
transitfeed,Python
translation-cards,Java
transliteration,
transmat,TypeScript
transperf,Python
travel-impact-model,
travel-impact-model-website,TypeScript
trax,Python
tree-math,Python
tree-sitter-fidl,C
triage-party,Go
triemap,Go
triggerator,TypeScript
trillian,Go
trillian-examples,Go
trillian-website,HTML
trimmed_match,Python
tritious,JavaScript
trix-auto-complete,JavaScript
truestreet,Go
trueview-sdf-generator,JavaScript
trusted-key-value-server,C++
trusted-worklet-server,C++
TrustScore,Jupyter Notebook
truth,Java
ts-bridge,Go
ts-gulp,
tsec,TypeScript
tsl,C++
tsmok,Python
tsunami,TypeScript
tsunami-security-scanner,Java
tsunami-security-scanner-callback-server,Java
tsunami-security-scanner-plugins,Java
tsunami-security-scanner-testbed,Go
tsviewdb,JavaScript
tuneup.dart,Dart
tuple.dart,Dart
turbine,Java
turbinia,Python
turing-doodle,JavaScript
tweakr,JavaScript
tweakr-codelab,Kotlin
typedoc-neo-theme,HTML
typograms,JavaScript
u2f-ref-code,JavaScript
uafcs,Python
ubntools,Go
ui-exp-dg,Dart
UIforETW,C++
uiimage-additions,Objective-C
uis-rnn,Python
ukey2,Java
ukip,Python
uncertainty-baselines,Python
uniflow-polymer,HTML
unigem-objective-c,Objective-C
unimorph,HTML
unisim,Python
universal-dash-transmuxer,C++
unsmear,C++
upvote_py2,Python
uri.dart,Dart
uribeacon,
url_diff,Python
us-altgr-intl,Perl
usb-cereal,HTML
usbinfo,Python
usbmon,C
usd_from_gltf,C++
usm-voice-transcriber,
uuid,Go
uv-metrics,Python
uVkCompute,C++
uvq,Python
v8-snapshot-ghidra-plugin,Java
vae-seq,Python
valid-avatar-library,ShaderLab
vandalir,LLVM
vapso,JavaScript
varstruct,C++
vbootrom,Assembly
vc-defer,Emacs Lisp
vectorio,Go
vector_math.dart,Dart
verilogpp,Perl
vertex-ai-benchmarker,Java
vertex-ai-nas,Python
vertex-pipelines-boilerplate,Python
viai-sdk,Python
video-localized-narratives,HTML
videotts,JavaScript
vim-codefmt,Vim Script
vim-codereview,Vim script
vim-colorscheme-primary,Vim Script
